PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,THPM,THPA,THPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD,TD,PLMIN,LOOKUP
COURTNEY WILLIAMS,MIN,30,40,30,10,26.5,11.1,4.9,11.0,44.3,0.6,1.7,33.3,0.9,1.1,81.0,0.4,4.3,4.7,5.5,2.5,0.9,0.4,1.9,24.5,3,0,6.6,1627675
ALYSSA THOMAS,CON,32,40,28,12,32.4,10.6,4.2,8.2,50.9,0.0,0.1,0.0,2.3,3.6,62.8,2.5,6.0,8.4,7.9,3.6,1.6,0.5,2.1,30.9,14,3,4.8,203826
JORDIN CANADA,ATL,29,20,9,11,31.2,10.6,3.5,8.9,39.0,0.8,2.9,28.1,2.9,3.7,78.1,0.6,2.9,3.5,5.8,2.1,1.6,0.3,2.6,24.3,1,0,1.1,1628886
NALYSSA SMITH,IND,24,40,20,20,24.7,10.6,4.2,8.8,48.0,0.4,1.2,29.2,1.8,3.2,56.7,1.8,5.3,7.1,1.0,1.3,0.8,1.0,2.7,22.5,7,0,-4.8,1631019
TYASHA HARRIS,CON,26,39,27,12,28.8,10.5,3.7,8.7,42.5,1.5,3.9,39.5,1.5,2.0,76.6,0.3,1.5,1.8,3.0,1.4,1.0,0.3,1.7,19.5,0,0,4.6,1630112
GABBY WILLIAMS,SEA,28,12,7,5,29.2,10.3,4.2,8.7,48.1,0.8,2.6,32.3,1.2,1.6,73.7,0.8,3.3,4.0,3.7,1.4,1.7,0.3,1.8,22.7,0,0,1.8,1628931
ALANNA SMITH,MIN,28,39,29,10,26.5,10.1,3.8,8.0,47.1,1.2,3.0,39.8,1.4,1.8,75.0,1.6,4.1,5.6,3.2,1.9,1.4,1.5,3.1,25.8,2,0,6.2,1629501
ELIZABETH WILLIAMS,CHI,31,9,4,5,27.7,10.0,4.1,8.4,48.7,0.0,0.0,0.0,1.8,2.7,66.7,2.8,4.2,7.0,1.6,1.7,1.7,1.7,2.1,25.2,2,0,1.6,204322
KAMILLA CARDOSO,CHI,23,32,10,22,27.4,9.8,3.9,7.6,52.1,0.0,0.0,0.0,1.9,2.6,72.6,3.0,4.9,7.9,1.7,1.5,0.5,1.4,3.2,23.3,7,0,-3.3,1642289
AZURÁ STEVENS,LAS,28,20,3,17,24.7,9.6,3.6,8.9,39.9,1.4,4.0,35.0,1.1,1.4,81.5,1.0,6.0,7.0,1.9,1.8,0.9,0.9,2.0,23.4,4,0,-5.9,1628922
